model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,0,351.9,134.4,-317.00,10.29,0.47,2272
dqn,TRAIN,1,279.3,175.3,-208.34,7.60,0.41,2192
dqn,TRAIN,2,223.6,150.1,-146.32,5.33,0.38,2244
dqn,TRAIN,3,210.2,118.9,-139.20,5.14,0.38,2288
dqn,TRAIN,4,216.3,101.1,-132.18,4.80,0.37,2319
dqn,TRAIN,5,217.9,90.7,-132.73,5.10,0.38,2331
dqn,TRAIN,6,218.4,80.7,-131.25,4.95,0.37,2300
dqn,TRAIN,7,205.7,76.7,-124.83,4.65,0.37,2295
dqn,TRAIN,8,196.0,70.1,-111.66,4.02,0.37,2323
dqn,TRAIN,9,192.0,63.5,-108.49,4.01,0.36,2308
dqn,TRAIN,10,213.7,59.6,-129.44,4.63,0.37,2344
dqn,TRAIN,11,195.7,57.4,-111.79,4.07,0.36,2332
dqn,TRAIN,12,205.4,55.1,-124.23,4.45,0.38,2330
dqn,TRAIN,13,197.7,54.8,-114.83,4.11,0.37,2358
dqn,TRAIN,14,196.0,48.9,-115.03,4.06,0.36,2353
dqn,TRAIN,15,181.9,39.2,-97.32,3.53,0.36,2352
dqn,TRAIN,16,179.8,34.3,-95.63,3.49,0.36,2334
dqn,TRAIN,17,183.5,31.8,-98.34,3.54,0.36,2330
dqn,TRAIN,18,183.4,31.2,-105.73,3.61,0.36,2366
dqn,TRAIN,19,179.1,29.8,-95.81,3.41,0.35,2335
