lane_id,queueing_time,queueing_length,timestep
np10_nt15_0,4.869565217391305,4.958695652173913,360.0
np10_nt15_0,4.052631578947368,2.4497368421052634,720.0
np10_nt15_0,1.5714285714285714,1.4792857142857143,1080.0
np10_nt15_0,10.6,5.503333333333333,1440.0
np10_nt15_0,3.9411764705882355,2.036470588235294,1800.0
np10_nt15_0,3.6666666666666665,4.041515151515152,2160.0
np10_nt15_0,1.7179487179487178,3.3607692307692307,2520.0
np10_nt15_0,14.67142857142857,4.154571428571429,2880.0
np10_nt15_0,19.03191489361702,3.9818085106382974,3240.0
np10_nt15_0,4.0,6.680000000000001,3600.0
np11_nt14_0,32.950980392156865,5.138529411764706,360.0
np11_nt14_0,38.66863905325444,6.619940828402367,720.0
np11_nt14_0,39.38461538461539,4.568076923076923,1080.0
np11_nt14_0,16.32,5.282,1440.0
np11_nt14_0,30.875,5.509041666666667,1800.0
np11_nt14_0,38.049180327868854,4.91655737704918,2160.0
np11_nt14_0,2.7058823529411766,4.16,2520.0
np11_nt14_0,34.08527131782946,6.542286821705427,2880.0
np11_nt14_0,23.5748502994012,7.544431137724551,3240.0
np11_nt14_0,43.9059829059829,8.596837606837607,3600.0
np12_nt13_0,94.22592592592592,7.371296296296296,360.0
np12_nt13_0,47.18292682926829,4.718353658536586,720.0
np12_nt13_0,138.29906542056074,5.883785046728972,1080.0
np12_nt13_0,112.51937984496124,5.955038759689923,1440.0
np12_nt13_0,34.016806722689076,4.526050420168067,1800.0
np12_nt13_0,90.5843621399177,2.724732510288066,2160.0
np12_nt13_0,131.30044843049328,2.6827354260089686,2520.0
np12_nt13_0,37.07514450867052,4.433063583815029,2880.0
np12_nt13_0,18.464646464646464,4.554242424242425,3240.0
np12_nt13_0,30.36,3.69435,3600.0
np13_nt13_0,0.7272727272727273,2.3145454545454545,360.0
np13_nt13_0,7.9411764705882355,3.8078823529411765,720.0
np13_nt13_0,4.076923076923077,1.79,1080.0
np13_nt13_0,6.424242424242424,3.9039393939393943,1440.0
np13_nt13_0,10.688172043010752,5.376451612903225,1800.0
np13_nt13_0,34.411458333333336,3.608385416666667,2160.0
np13_nt13_0,0.5,2.55,2520.0
np13_nt13_0,7.178571428571429,4.124464285714286,2880.0
np13_nt13_0,21.136363636363637,6.21030303030303,3240.0
np13_nt13_0,8.153846153846153,5.052884615384615,3600.0
np13_nt13_1,0.0,0.0,360.0
np13_nt13_1,0.0,0.0,720.0
np13_nt13_1,6.066666666666666,5.200666666666667,1080.0
np13_nt13_1,0.0,0.0,1440.0
np13_nt13_1,0.0,0.0,1800.0
np13_nt13_1,0.0,0.0,2160.0
np13_nt13_1,0.0,0.0,2520.0
np13_nt13_1,0.0,0.0,2880.0
np13_nt13_1,0.0,0.0,3240.0
np13_nt13_1,0.0,0.0,3600.0
np14_nt9_0,0.3333333333333333,0.7144444444444444,360.0
np14_nt9_0,5.173913043478261,6.793478260869565,720.0
np14_nt9_0,24.21212121212121,5.174545454545454,1080.0
np14_nt9_0,11.647058823529411,3.7023529411764704,1440.0
np14_nt9_0,5.9393939393939394,2.5333333333333337,1800.0
np14_nt9_0,14.08,5.265600000000001,2160.0
np14_nt9_0,1.3529411764705883,2.4499999999999997,2520.0
np14_nt9_0,12.418604651162791,5.685581395348837,2880.0
np14_nt9_0,5.849056603773585,4.836981132075472,3240.0
np14_nt9_0,12.217391304347826,3.3493478260869565,3600.0
